0,Dining Room furniture Dining table Set leather Dining Chairs,46*47*87cm,$45.00 - $50.00,"//sc02.alicdn.com/kf/H69b8e2cd5b314a97b6b3b5597299cd36W.jpg, //sc02.alicdn.com/kf/H7b7a125dd84e4065b546e511fae424bd5.jpg, //sc01.alicdn.com/kf/Hde7f57ee6249486fafd1300a9809ea329.jpg, //sc02.alicdn.com/kf/H35481438114b4e30a0bf3fffecb2b585T.jpg, //sc02.alicdn.com/kf/H8f58efaadf9745e88bbe15e832cf5df8N.jpg, //sc01.alicdn.com/kf/H11a13bb12a794344bed7a93131dc2d17S.jpg",https://fscalla.en.alibaba.com/product/62564659582-820951616/Dining_Room_furniture_Dining_table_Set_leather_Dining_Chairs.html,DC-1
1,2020 modern design velvet metal armchair negotiation chair dining chairs in dining room living room,40*43*83cm,$45.00 - $50.00,"//sc01.alicdn.com/kf/H067565d82bf6466fb94d69e3cea7651dN.jpg, //sc02.alicdn.com/kf/Hd1ce801cfa0444ca85cbceaeae618165U.jpg, //sc01.alicdn.com/kf/H7f60f041a08a4e62afa8f6612f210687m.jpg, //sc02.alicdn.com/kf/H7d31e8ae838248bebbddf338f6082b25D.jpg, //sc01.alicdn.com/kf/H33dee48ce3eb44769bce0e0a0a7be229u.jpg, //sc02.alicdn.com/kf/H6f2166d44e7542cd80f34494fd7ae3baJ.jpg",https://fscalla.en.alibaba.com/product/62564563904-820951616/2020_modern_design_velvet_metal_armchair_negotiation_chair_dining_chairs_in_dining_room_living_room.html,DC-2
2,Nordic Modern Dining Chair PU Leather Price For Sale Dining room furniture,"47*56*70CM, 56*56*70CM",$50.00 - $55.00,"//sc02.alicdn.com/kf/H53bca9d0a1554559ae22be16f1d6a59eZ.jpg, //sc01.alicdn.com/kf/Hc8feadddac6c4ef3b278d6f600e5c029D.jpg, //sc02.alicdn.com/kf/H1108eecd88014d11baee3940b801cbc9B.jpg, //sc02.alicdn.com/kf/H06298816f11547b09a990da3688fc105x.jpg, //sc02.alicdn.com/kf/Ha26e691866424e41800bf079b7c2e9988.jpg, //sc01.alicdn.com/kf/H4f5a368a02f1494e987e507c128b0159i.jpg",https://fscalla.en.alibaba.com/product/62585078558-820951616/Nordic_Modern_Dining_Chair_PU_Leather_Price_For_Sale_Dining_room_furniture.html,DC-3
3,Modern Relax High-level Genuine Leather Fabric Sofa Chair for home restaurant cafe dining room furniture,50*60*88,$60.00 - $80.00,"//sc01.alicdn.com/kf/H3194d4f7b03548e1ad67b37a5562b81cr.jpg, //sc01.alicdn.com/kf/Hd1b99a9acf9343699b10ad1cd2244bceC.jpg, //sc02.alicdn.com/kf/He048ba95c7fb411ab7d5606353e68334r.jpg",https://fscalla.en.alibaba.com/product/62473670820-820951616/Modern_Relax_High_level_Genuine_Leather_Fabric_Sofa_Chair_for_home_restaurant_cafe_dining_room_furniture.html,DC-4
4,Nordic Style Coffee home  soft Fabric Velvet Chair Restaurant Dining chair,40*43*86CM,$45.00 - $50.00,"//sc02.alicdn.com/kf/Hc6b265ef73554f02abc712fc5f223ccdo.jpg, //sc01.alicdn.com/kf/H2d13386798694a64ba1117a88e50b0dfO.jpg, //sc01.alicdn.com/kf/H4caccf452d9746098097331c61de137bV.jpg, //sc02.alicdn.com/kf/H289abbdca1d1465fb30820300bce0f96q.jpg, //sc01.alicdn.com/kf/H45f179f09c6e4c9abe67ac29091c2617q.jpg, //sc01.alicdn.com/kf/Hd7a0a72e4aac48adb26ef9289856e228E.jpg",https://fscalla.en.alibaba.com/product/62565430286-820951616/Nordic_Style_Coffee_home_soft_Fabric_Velvet_Chair_Restaurant_Dining_chair.html,DC-5
5,Restaurant furniture stainless steel legs modern design Comfortable leather sofa dining chair set,58*60*88,$120.00 - $130.00,"//sc02.alicdn.com/kf/H30a4c44cd3fb4ff08eacc43f4b8788f0z.jpg, //sc01.alicdn.com/kf/H1f122bd85fa14ad98b17e34b91cb5a05t.jpg, //sc02.alicdn.com/kf/Ha13d6e5494d64b94b284295e07ccfcad4.jpg, //sc01.alicdn.com/kf/H9b4e177768374cf8a05850f66edf8f3c1.jpg, //sc02.alicdn.com/kf/Hab85c8bf3c2c4c219900f1fa22db5028V.jpg",https://fscalla.en.alibaba.com/product/62470533666-820951616/Restaurant_furniture_stainless_steel_legs_modern_design_Comfortable_leather_sofa_dining_chair_set.html,DC-6
6,Modern upholstery restaurant and cafe shop wooden dining chair with metal cover,52*56*84,$58.00 - $62.00,"https://img.alicdn.com/imgextra/i2/6000000000154/O1CN010WMETl1D0ZZqx5Z0H_!!6000000000154-0-tbvideo.jpg, //sc01.alicdn.com/kf/H45bebaa5a23545e3ac1d161b34fcaf97i.jpg, //sc01.alicdn.com/kf/Hcc4b27cedd4449739226feab5483df6eP.jpg, //sc01.alicdn.com/kf/Hd6356e54d5374dc99f00a9b67acd4b21H.jpg, //sc01.alicdn.com/kf/H07896832252f4dd38bfb6de65c82786c3.jpg, //sc02.alicdn.com/kf/He15502580d99419e839e7baede67ee9bp.jpg, //sc02.alicdn.com/kf/H15288e61051f4ae18739826169802ea3B.jpg",https://fscalla.en.alibaba.com/product/62469072602-820951616/Modern_upholstery_restaurant_and_cafe_shop_wooden_dining_chair_with_metal_cover.html,DC-7
7,modern restaurant home furniture Luxury leather dining chair,54*50*92,$50.00 - $180.00,"//sc02.alicdn.com/kf/Hd699ea145215461b866d542e73d10304I.jpg, //sc01.alicdn.com/kf/H505472aa63c44997ba38190883c117b3c.jpg, //sc01.alicdn.com/kf/H5f887c900b654fcdb28243059bd0cbbdP.jpg, //sc01.alicdn.com/kf/H14021f07fec64da1a5666dd7eeba4bea4.jpg, //sc02.alicdn.com/kf/Hf1d45279d2624925899ca0a80df25c75D.jpg, //sc01.alicdn.com/kf/H67b975876cf2461c8d4d446d9e4a7482l.jpg",https://fscalla.en.alibaba.com/product/62472482666-820951616/modern_restaurant_home_furniture_Luxury_leather_dining_chair.html,DC-8
8,Light luxury dining chair simple retro hotel restaurant dining room leather chair,50*50*85,$50.00 - $55.00,"//sc01.alicdn.com/kf/H2ebc2ac79b774d77b10ebc02098f90eet.jpg, //sc02.alicdn.com/kf/H8c763e06915b420c9013707e022a1384d.jpg, //sc02.alicdn.com/kf/Hbdbdb69de06a48d49d046d02ed3515b5s.jpg, //sc01.alicdn.com/kf/H1d87ca221eb04883849fd5dc98ef6fb4H.jpg, //sc01.alicdn.com/kf/Hcc047c55a77444b29c0be38297c8a657N.jpg, //sc02.alicdn.com/kf/H647fce3e84be4b7ba41ab6eb43dd4393z.jpg",https://fscalla.en.alibaba.com/product/62528116870-820951616/Light_luxury_dining_chair_simple_retro_hotel_restaurant_dining_room_leather_chair.html,DC-9
9,metal legs design green pink color modern fabric restaurant velvet dining chairs for living room furniture,52*57*85,$60.00 - $65.00,"//sc02.alicdn.com/kf/H558d313311d7472b813829647aa97d24s.jpg, //sc02.alicdn.com/kf/H8c801ca7ec9e4de6b1add6f0b62f2a2fQ.jpg, //sc02.alicdn.com/kf/H78e29ee017394048850fc96bfbba20f9s.jpg, //sc01.alicdn.com/kf/Ha3b29ff72e6d40c2aae4317fea17b2b5I.jpg, //sc01.alicdn.com/kf/H3e3319ab28a246f48153901311604200l.jpg, //sc02.alicdn.com/kf/H3c3007463cef46c680fc42895d2c3145Z.jpg",https://fscalla.en.alibaba.com/product/62464932352-820951616/metal_legs_design_green_pink_color_modern_fabric_restaurant_velvet_dining_chairs_for_living_room_furniture.html,DC-10
