0,Modern luxury marble dinning table set with metal frame dinning room furniture,"180*90*75CM, 220*100*75CM",$380.00 - $450.00,"https://sc01.alicdn.com/kf/H5d4af2c9106e4b769b9a4ffd46812936B.jpg, //sc01.alicdn.com/kf/H43d9746f07114e5994ba96c4f12a19f4D.jpg, //sc02.alicdn.com/kf/H72d652bfe6d94e899e3f8555aa0bf98au.jpg",https://fscalla.en.alibaba.com/product/62501808074-817010597/Modern_luxury_marble_dinning_table_set_with_metal_frame_dinning_room_furniture.html,DT-1
1,Modern Dining Room Furniture Metal Gold frame marble dining table with chairs,"table:102/130/150*75, Chair:62*52*88",$450.00 - $500.00,"//sc01.alicdn.com/kf/He83dfc1978a74aa5b262a484037479f4Y.jpg, //sc01.alicdn.com/kf/H4afea7e0a66c4c73b5ba2e2762d38e03n.jpg, //sc01.alicdn.com/kf/H798f88720d6c41c0a5427a9bd5b8c8c4s.jpg, //sc02.alicdn.com/kf/H7f76c56f5911462dac790ccbfffd58e1U.jpg, //sc01.alicdn.com/kf/Ha0a85f1751d14eeda7d6f35abdf64b7ag.jpg",https://fscalla.en.alibaba.com/product/62474025630-817010597/Modern_Dining_Room_Furniture_Metal_Gold_frame_marble_dining_table_with_chairs.html,DT-2
2,Modern Home Restaurant Wooden table Furniture Dining Room Sets,80*140*75CM,$135.00 - $180.00,"//sc01.alicdn.com/kf/Hd99daeed2e68423aab5ea00b5691f655L.jpg, //sc01.alicdn.com/kf/H5fdf5419441049c684502eb3eb010e01q.jpg, //sc01.alicdn.com/kf/H782c5b6f1fcc4fc68c99d14443cfef70U.jpg, //sc02.alicdn.com/kf/H4f5e35b1e77041989877179b8dead039J.jpg, //sc01.alicdn.com/kf/H4f96966b0f2f4bf78fd1ac07456250a7p.jpg",https://fscalla.en.alibaba.com/product/62472502207-817010597/Modern_Home_Restaurant_Wooden_table_Furniture_Dining_Room_Sets.html,DT-3
3,dining room furniture natural marble top dining table and chair set,L160*W85*H75,$150.00 - $180.00,"//sc01.alicdn.com/kf/Ha661139f1828492e98b6311d086a9c14w.jpg, //sc02.alicdn.com/kf/Ha051bc695c3c441fa64c91c1f93ef0174.jpg, //sc01.alicdn.com/kf/Hc91edc27f0874c649eba36c48c1c399ej.jpg, //sc02.alicdn.com/kf/Hf5446a49298d49df9f08698273cf96470.jpg, //sc02.alicdn.com/kf/H477f1abdb8aa4fb6a8bff03a78c7828ad.jpg",https://fscalla.en.alibaba.com/product/62537587657-817010597/dining_room_furniture_natural_marble_top_dining_table_and_chair_set.html,DT-4
4,Dining room furniture popular high quality luxury marble stainless steel dining table,L160*W85*H75,$300.00 - $320.00,"//sc02.alicdn.com/kf/H1b983798b17645e3ba25501f195367c4y.jpg, //sc01.alicdn.com/kf/H4f7f15c17abd4702adce329c87daf5a5x.jpg, //sc02.alicdn.com/kf/H9e2a7e6e9de941a59a2d45ba374d0c2cM.jpg, //sc01.alicdn.com/kf/H0f69348729fa483da5e7e7899910a625o.jpg",https://fscalla.en.alibaba.com/product/62531227983-817010597/Dining_room_furniture_popular_high_quality_luxury_marble_stainless_steel_dining_table.html,DT-5
5,Nordic fashion marble dining table family living room furniture rectangular dining table chair combination,L160*W85*H75,$300.00 - $350.00,"//sc01.alicdn.com/kf/Hb02bf748b9294d5bac79fb4c4cebb8c9v.jpg, //sc01.alicdn.com/kf/Hfaf3d0843e864312828b89e585918759Z.jpg, //sc02.alicdn.com/kf/Hdeb18ec613774f76a10270c57769aca8A.jpg",https://fscalla.en.alibaba.com/product/62532180627-817010597/Nordic_fashion_marble_dining_table_family_living_room_furniture_rectangular_dining_table_chair_combination.html,DT-6
6,Modern luxury Stainless Steel frame round Marble table and restaurant Dining chair set,"table:130*75, Chair:42*48*103",$290.00 - $330.00,"https://img.alicdn.com/imgextra/i4/6000000005247/O1CN01ybUViJ1odAk0XpxI2_!!6000000005247-0-tbvideo.jpg, //sc02.alicdn.com/kf/Hefcd1debd5704db49a52d62645a4ad179.jpg, //sc02.alicdn.com/kf/Hebe86498045341c493361147fa8d51ccR.jpg, //sc01.alicdn.com/kf/H269f7af07829461a802d5278f6efa94bR.jpg, //sc01.alicdn.com/kf/Haeb6f6366e644dd0a1d966f101015944o.jpg, //sc02.alicdn.com/kf/H81eed773f19142f1b471d4001d2b7272V.jpg, //sc01.alicdn.com/kf/H4e0a34bb1ddb42e58226c6371d448684m.jpg",https://fscalla.en.alibaba.com/product/62474311486-817010597/Modern_luxury_Stainless_Steel_frame_round_Marble_table_and_restaurant_Dining_chair_set.html,DT-7
7,Modern design dining room furniture gold Steel frame 6 chairs and marble dining table set,L160*W85*H75,$90.00 - $550.00,"//sc02.alicdn.com/kf/He5c2642416fb43da8a3daa2f62d0035er.jpg, //sc02.alicdn.com/kf/H87d46d01f4914e069517b62872ae22a6g.jpg, //sc02.alicdn.com/kf/He97fe7fba68044259875ad386e0976a9i.jpg, //sc01.alicdn.com/kf/Hcca661f2cc4d40f4b28dc0d5ed1083bdS.jpg, //sc02.alicdn.com/kf/H23bfee5e14234ec5b8ce1ed58fd992a1n.jpg, //sc02.alicdn.com/kf/H2cce03696c074fcbaf81897d91f3948by.jpg",https://fscalla.en.alibaba.com/product/62532905543-817010597/Modern_design_dining_room_furniture_gold_Steel_frame_6_chairs_and_marble_dining_table_set.html,DT-8
8,Luxury Marble Top Round Dining Table With Rotating Centre for living room Restaurant furniture,"120*78, 130*78, 150*78, 180*78",$230.00 - $270.00,"//sc02.alicdn.com/kf/Hdcf0695e4d014afd85daa327bc15c38fu.jpg, //sc01.alicdn.com/kf/H36979570df534de3a97b68a2943d5703v.jpg, //sc02.alicdn.com/kf/Hb8af2b5a6c914396a1a1b7fc6a63b8c9W.jpg, //sc02.alicdn.com/kf/He0dad9e7d0af4a74912cfefb5d2115708.jpg, //sc02.alicdn.com/kf/H195df7551fc84147a997adefc197bd84q.jpg",https://fscalla.en.alibaba.com/product/62473639910-817010597/Luxury_Marble_Top_Round_Dining_Table_With_Rotating_Centre_for_living_room_Restaurant_furniture.html,DT-9
9,Hot sale modern solid wood dining table set for living room home furniture,80*140*75CM,$135.00 - $180.00,"//sc02.alicdn.com/kf/H01874a368f3c4b9d8dce57d7b07b589eA.jpg, //sc02.alicdn.com/kf/He3574bc8140f4978aa4542efd28d87b6B.jpg, //sc01.alicdn.com/kf/H75ec47d001874041b40d3bab8b6750caE.jpg, //sc01.alicdn.com/kf/Hbc447b8d21e14fb7a489156b71f3bb32E.jpg, //sc02.alicdn.com/kf/H51e8a9639b98426a9a566d28dc30e801E.jpg, //sc02.alicdn.com/kf/H0889b8b645e3454ebcad4d3e9bc470a9F.jpg",https://fscalla.en.alibaba.com/product/62512421280-817010597/Hot_sale_modern_solid_wood_dining_table_set_for_living_room_home_furniture.html,DT-10
